"","PrecNo","PrecName","Tot","D2Pre","D2Sen","D2Att","D2Aud","D2Tre","ROSen","ROAtt","ROAud","ROTre"
"68",68,"PATTON SOUTH 3",1626,67.67,61.43,61.06,63.99,63.55,0.37,1.92,2.78,3.15
"69",69,"PENN",502,27.96,31.52,34.76,36.83,36.53,-0.2,1.41,3.02,3.02
"70",70,"POTTER NORTH",796,30.65,31.49,33.07,37.48,38.79,1.01,2.4,4.04,4.04
"71",71,"POTTER SOUTH",1216,35.83,35.68,38.45,40.02,40.21,1.32,1.9,3.8,4.63
"72",72,"RUSH NORTH",975,26.11,31.21,37.25,37.01,38.83,0.92,1.95,3.08,3.39
"73",73,"RUSH SOUTH",202,25.54,30.34,33.67,40.56,37.21,0.5,0.5,1.5,0
"74",74,"RUSH EAST",97,35.56,48.05,47.87,53.93,54.12,-5.49,-4.4,-4.4,-1.1
"75",75,"RUSH WEST",375,24.45,29,34.43,34.43,37.12,0.27,1.61,3.49,4.3
"76",76,"SNOW SHOE EAST",569,26.89,34.81,45.07,45.49,49.59,0.71,2.66,4.26,5.14
"77",77,"SNOW SHOE WEST",280,24.18,32.08,39.08,38.59,46.12,2.86,6.43,6.07,7.5
"78",78,"SPRING NORTH",954,39.3,40.85,40.94,43.82,46.2,0.21,1.27,2.43,2.96
"79",79,"SPRING SOUTH",745,34.23,36.92,44.31,44.91,44.31,-0.41,1.22,2.57,2.84
"80",80,"SPRING WEST",446,31.25,34.55,39.44,41.9,44.77,0.23,2.26,2.26,2.48
"81",81,"TAYLOR",439,17.97,23.23,24.88,26.04,26.96,1.82,2.28,3.42,3.19
"82",82,"UNION",751,17.67,25.15,27.34,29.52,29.28,0.81,1.62,2.57,2.7
"83",83,"WALKER EAST",854,27.45,30.93,33.81,33.64,35.49,0.94,2.46,4.23,4.58
"84",84,"WALKER WEST",1673,32.19,32.74,35.98,37.8,39.46,1.14,2.58,4.44,4.44
"85",85,"WORTH",414,24.19,27.82,31.45,32.17,33.33,0.97,1.69,4.35,5.07
"86",86,"SPRING EAST",915,29.55,31.07,34.45,37.66,38.51,0.44,1.65,2.75,3.52
"87",87,"SPRING SOUTHWEST",920,40.26,39.6,42.94,45.21,45.88,0.87,2.62,3.38,3.82
"88",88,"FERGUSON NORTH 3",1002,68.74,62.3,64.76,66.02,65.54,0.5,2.81,3.01,2.91
"89",89,"FERGUSON WEST CENTRAL",1096,61.63,55.34,55,56.87,57.64,0.92,1.56,4.78,5.14
"90",90,"HALFMOON EAST CENTRAL",1007,42.37,39.91,40.47,43.49,42.47,0,0.9,2.7,3.4
"91",91,"FERGUSON NORTH CENTRAL",714,58.49,49.78,50.21,53.83,54.11,1.4,1.68,3.23,3.65
